ROWID,FI,ACCOUNT_TYPE,CUSTOMER_ID,ACCOUNT_NO,ACCOUNT_HOLDER,AMOUNT_DUE_IN_DOLLERS,DUE_DATE,DUE_REMAINDER_DATE,DUE_CLEARANCE_MODE
1,WellsForgo,Savings,1,3323232324,John,$750 ,1532490000000,1532320000000,ECS
2,WellsForgo,Savings,2,3589787654,David Miller,$850 ,1532490000000,1532320000000,ECS
3,WellsForgo,Savings,3,3423229802,Mike Bren,$400 ,1532490000000,1532320000000,ECS
4,WellsForgo,Savings,4,3327876834,Christ Neol,$206 ,1532490000000,1532320000000,ECS
5,WellsForgo,Savings,5,3902341987,Bren Adams,"$1,099 ",1532490000000,1532320000000,ECS
6,WellsForgo,Savings,6,3901212324,Good Weals,$978 ,1532490000000,1532320000000,ECS
7,WellsForgo,Savings,7,3879232394,James Christ,$767 ,1532490000000,1532320000000,ECS
8,WellsForgo,Savings,8,3232878764,Mike Sause,"$1,098 ",1532490000000,1532320000000,ECS
9,WellsForgo,Savings,9,2343234223,Susen Grill,$877 ,1532490000000,1532320000000,ECS
10,WellsForgo,Savings,10,4322342342,Mc George,$768 ,1532490000000,1532320000000,ECS
11,WellsForgo,Savings,11,5343343554,Neal Christ,$400 ,1532490000000,1532320000000,ECS
